Species	Bacteriocin	Count
Cyanothece_sp._ATCC_51142	Bacteriocin_IIc	1
Actinoplanes_ianthinogenes_strain_NBRC_13996	Bacteriocin_IIc,Gallidermin	2
Paenibacillus_mucilaginosus_3016	Bacteriocin_IIc,Linocin_M18	2
Paenibacillus_mucilaginosus_K02	Bacteriocin_IIc,Linocin_M18	2
Rhizobium_pusense_strain_76	Bacteriocin_IIc	1
Klebsiella_sp._STW0522-44	Bacteriocin_IIc	1
Helicobacter_pylori_F30	lasso,LE-DUF	2
Burkholderia_gladioli_BSR3	Bacteriocin_IIc,Linocin_M18	2
Amycolatopsis_sp._TNS106	ggmotif,Lactococcin_972,LE-LAC481,Linocin_M18,Mersacidin	5
Listeria_monocytogenes_serotype_1/2a_str._08-6997	ComC	1
Deinococcus_maricopensis_DSM_21211	Bacteriocin_IIc	1
Haloterrigena_sp._KZCA68	Bacteriocin_IIc	1
Phycisphaerae_bacterium_ST-PulAB-D4_strain_ST-PulAB-D4	Linocin_M18	1
Corynebacterium_striatum_strain_215	Bacteriocin_IIc,Lactococcin_972	2
Bacillus_cereus_biovar_anthracis_str._CI	Bacteriocin_IId,L_biotic_typeA	2
Roseiflexus_sp._RS-1	LE-DUF	1
Methylobacterium_sp._AMS5	ggmotif	1
uncultured_Phascolarctobacterium_sp._strain_Phascolarctobacterium_canine_HQ_MAG	Bacteriocin_IIc	1
Clostridium_sp._'deep_sea'	L_biotic_typeA,LE-DUF	2
Enterobacter_chuandaensis_strain_Colony256	Bacteriocin_IIc	1
Sulfuritortus_calidifontis_strain_J1A	Bacteriocin_IIc	1
Burkholderia_cepacia_BRDJ	Bacteriocin_IIc,ggmotif,Linocin_M18	3
Paenibacillus_sp._BIHB4019	ggmotif	1
Sinorhizobium_fredii_CCBAU_83666	Bacteriocin_IIc	1
Nodularia_spumigena_UHCC_0039	Bacteriocin_IIc,ggmotif,L_biotic_typeA	3
Paraglaciecola_sp._L3A3	Bacteriocin_IIc	1
Chryseobacterium_piperi_strain_ATCC_BAA-1782	Antimicrobial17,Bacteriocin_IIc,Bacteriocin_IIi	3
Nocardia_terpenica_strain_AUSMDU00012715	Linocin_M18	1
Mycobacterium_immunogenum_strain_CCUG_47286	Linocin_M18	1
Mannheimia_haemolytica_USMARC_2286	Linocin_M18	1
Gammaproteobacteria_bacterium_soil36-7	Linocin_M18	1
Mycobacterium_tuberculosis_PanR0407	Gallidermin,Linocin_M18	2
Amycolatopsis_mediterranei_S699	Bacteriocin_IId,L_biotic_typeA,Linocin_M18,Mersacidin	4
Bacillus_anthracis_str._A16	Bacteriocin_IId,Bacteriocin_IIi	2
Escherichia_sp._SCLE84	Antimicrobial17,Bacteriocin_IIc	2
Wolinella_succinogenes_DSM_1740	Linocin_M18	1
Brachyspira_hyodysenteriae_WA1	L_biotic_typeA,Linocin_M18	2
Bordetella_holmesii_FDAARGOS_1539	Bacteriocin_IIc	1
Yangia_sp._CCB-MM3	ggmotif,L_biotic_typeA	2
Lactobacillus_rhamnosus_DSM_14870	Bacteriocin_IIc	1
Conchiformibius_steedae_strain_DSM_2580	Mersacidin	1
Acidianus_hospitalis_W1	Linocin_M18	1
Bacillus_cereus_03BB87	Bacteriocin_IId	1
Eggerthella_lenta_APC-F2-3	Bacteriocin_IIc,ggmotif,Linocin_M18	3
Bacillus_thuringiensis_serovar_alesti_strain_BGSC_4C1	Bacteriocin_IId	1
Shigella_flexneri_2002017	Bacteriocin_IIc,ggmotif	2
Aphanizomenon_flos-aquae_DEX188	ComC,L_biotic_typeA	2
Yersinia_pestis_subsp._pestis_bv._Medievalis_strain_SCPM-O-B-6530	Bacteriocin_IIc,ggmotif	2
Xanthomonas_sp._SI	Bacteriocin_IIc	1
Halomonas_sp._PA5	Bacteriocin_IIc	1
Kosmotoga_pacifica_strain_SLHLJ1	LE-LanBC	1
Rhizobium_laguerreae_WSM1455	Bacteriocin_IIc,Bacteriocin_IId	2
uncultured_Sporomusa_sp._strain_86	ggmotif	1
Ruminiclostridium_thermocellum_DSM_2360_strain_LQRI	Bacteriocin_IIi,Linocin_M18	2
Amycolatopsis_pretoriensis_FBCC-B4732	Bacteriocin_IIc,Linocin_M18	2
Bordetella_avium_strain_14-4061	Bacteriocin_IIc	1
Mycobacterium_ulcerans_subsp._shinshuense_strain_ATCC_33728	L_biotic_typeA,Linocin_M18	2
Rhizobium_sp._NLR16a	Bacteriocin_IIc,Bacteriocin_IId	2
Burkholderia_pseudomallei_MSHR5855	Bacteriocin_IIc,Bacteriocin_IId,ggmotif	3
Rhizobium_sp._N541	Bacteriocin_IIc,Gallidermin	2
Mycoplasma_maculosum_strain_NCTC10168	Bacteriocin_IIc	1
Pyrococcus_furiosus_DSM_3638	Linocin_M18	1
Catellatospora_sp._IY07-71	Lactococcin	1
Hartmannibacter_diazotrophicus_strain_type_strain:_E19_strain_E19T	Bacteriocin_IIc	1
Brevibacterium_sp._WO024	Linocin_M18	1
Escherichia_coli_O145:H28_str._RM13514	Bacteriocin_IIc	1
Methylobacterium_extorquens_DM4	Bacteriocin_IIc	1
Acinetobacter_septicus_strain_FDAARGOS_1401_strain_Not_applicable	Bacteriocin_IIc,Bacteriocin_IId	2
Blautia_sp._LZLJ-3	Linocin_M18	1
Parvibaculum_lavamentivorans_DS-1	Bacteriocin_IId	1
Lactococcus_lactis_subsp._cremoris_UC509.9	ComC,Lactococcin,LE-LanBC	3
Streptococcus_agalactiae_138	Bacteriocin_IIc,ComC	2
Streptomyces_sp._SYP-A7193	ggmotif	1
Pseudoalteromonas_sp._CF6-2	Bacteriocin_IIc,ComC	2
Citrobacter_werkmanii_FDAARGOS_1524	Bacteriocin_IIc	1
Desulfitobacterium_hafniense_DCB-2	LE-DUF	1
Salmonella_enterica_subsp._enterica_serovar_Enteritidis_str._SA20094352	Bacteriocin_IIc	1
Enterococcus_gallinarum_EG81	Bacteriocin_IIc	1
Streptococcus_pneumoniae_SPN034156	Bacteriocin_IIc,ComC,Lactococcin_972	3
Nesterenkonia_sp._NBAIMH1	LE-LAC481	1
Flammeovirga_kamogawensis_strain_YS10	Bacteriocin_IIc,ComC	2
Brevibacterium]_flavum_strain_ATCC_15168	Lactococcin_972,LE-LAC481	2
Mycobacterium_tuberculosis_RGTB423	Gallidermin,Linocin_M18	2
Bacillus_anthracis_str._A0248	Bacteriocin_IId,Bacteriocin_IIi	2
