"posterior_row","iteration","tree_no","map_within_draw","total_changes","q12","q13","q21","q24","q31","q34","q42","q43"
328,628000,1,1,1525,47,99,144,4,236,321,96,578
329,629000,1,1,1534,46,102,209,5,233,328,97,514
330,630000,1,1,1674,48,104,190,7,236,341,100,648
331,631000,1,1,1485,44,95,173,7,246,298,93,529
332,632000,1,1,1807,25,97,189,7,244,511,102,632
333,633000,1,1,1611,24,112,194,0,241,375,98,567
334,634000,1,1,1501,54,104,180,4,248,308,110,493
335,635000,1,1,1681,12,84,233,7,205,420,137,583
336,636000,1,1,1687,56,79,171,6,256,426,97,596
337,637000,1,1,1490,22,96,149,10,229,331,110,543
338,638000,1,1,1628,45,86,200,4,236,370,99,588
339,639000,1,1,1551,20,96,193,8,211,380,125,518
340,640000,1,1,1614,36,88,158,9,266,347,99,611
341,641000,1,1,1629,20,108,182,1,260,370,99,589
342,642000,1,1,1594,16,100,182,5,251,360,94,586
343,643000,1,1,1624,35,101,198,2,239,357,100,592
344,644000,1,1,1605,37,91,182,8,250,337,88,612
345,645000,1,1,1459,29,97,187,4,255,299,102,486
346,646000,1,1,1617,36,85,188,12,235,380,104,577
347,647000,1,1,1604,46,101,180,4,256,361,89,567
348,648000,1,1,1449,6,99,195,4,224,343,115,463
349,649000,1,1,1558,40,99,175,1,275,351,81,536
350,650000,1,1,1536,50,77,137,16,254,377,89,536
351,651000,1,1,1542,38,98,193,5,234,320,98,556
352,652000,1,1,1668,66,89,124,10,276,389,69,645
353,653000,1,1,1519,19,97,190,3,240,328,104,538
354,654000,1,1,1461,9,95,203,5,228,323,116,482
355,655000,1,1,1479,52,93,136,3,260,337,81,517
356,656000,1,1,1675,52,90,167,18,244,375,105,624
357,657000,1,1,1728,65,114,206,7,240,411,116,569
358,658000,1,1,1957,54,106,188,8,250,527,100,724
359,659000,1,1,1529,16,99,199,1,244,344,113,513
360,660000,1,1,1667,69,103,189,4,250,343,90,619
361,661000,1,1,1587,39,105,197,0,248,355,101,542
362,662000,1,1,1642,46,102,175,3,234,393,93,596
363,663000,1,1,1515,53,88,170,14,249,322,104,515
364,664000,1,1,1630,16,94,202,1,208,429,124,556
365,665000,1,1,1500,30,90,196,5,240,308,104,527
366,666000,1,1,1762,69,98,166,11,260,435,102,621
367,667000,1,1,1554,64,101,193,2,226,332,103,533
368,668000,1,1,1701,25,83,236,5,201,387,130,634
369,669000,1,1,1576,50,89,171,18,255,351,85,557
370,670000,1,1,1592,20,116,190,2,259,331,104,570
371,671000,1,1,1663,34,106,145,2,266,424,81,605
372,672000,1,1,1691,21,99,180,3,256,430,94,608
373,673000,1,1,1730,23,84,171,4,256,447,91,654
374,674000,1,1,1637,34,106,194,3,241,396,96,567
375,675000,1,1,1647,51,98,143,5,262,372,78,638
376,676000,1,1,1683,41,82,132,9,270,398,76,675
377,677000,1,1,1590,53,82,173,5,234,368,100,575
378,678000,1,1,1431,14,116,198,1,233,267,100,502
379,679000,1,1,1679,15,114,191,1,213,468,124,553
380,680000,1,1,1739,9,92,229,6,222,431,124,626
381,681000,1,1,1638,42,87,192,3,241,411,94,568
